index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,joy,tentative,confident,analytical,fear,anger
5001,yspyg78,"🌊🌊🌊retired nurse, author, activist, photographer.  #resistance #bluewave2020 🌊🌊🌊🏳️‍🌈☸️🌎⚓️♿️🇺🇸 no dm's-please!",n.a,7643,6964,37187,2015-10-24 00:25:03,2020-06-22 01:17:24,716,"Florida is a COVID-19 apocalypse compliments of science-denier, idiot, and @realDonaldTrump sycophant, @GovRonDeSantis. Nearly every day in June has set a new daily record. Perhaps opening the restaurants, bars and beaches weeks ago was a horrible idea.",[],"['@realDonaldTrump', '@GovRonDeSantis.']",florida apocalypse compliment science-denier idiot sycophant nearly every day june set new daily record perhaps open restaurant bar beach week ago horrible idea,,[],,,,,,,
5002,tellez_rebecca,"momma protecting her children, i recommend every citizen follow their states leaders on tweeter and voice your concerns to them publicly!!!","california, usa",658,154,2856,2015-10-14 18:47:36,2020-06-23 01:08:41,0,@latimes Check out Erin nurse from epicenter hospital in NYC. You can test negative twice and still get placed on ventilators and die. Then pronounce dead via covid virus. Elmhurst hospital has a hurst waiting for you when you arrive!!! #COVID19,['covid19'],['@latimes'],check erin nurse epicenter hospital nyc test negative twice still get placed ventilator die pronounce dead via covid virus elmhurst hospital hurst wait arrive,,"[{'score': 0.759976, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5003,masoodkayani1,n.a,n.a,319,49,543,2012-02-28 00:07:35,2020-06-21 02:45:30,375,"Feb2020, WHO announced an official name COVID-19 for novel coronavirus outbreak 
In COVID-19
CO' stands for 'corona
VI' for 'virus
D' for disease and
19 for 2019(year it emerged)
But according to highly educated minister, 19 stands for whatever points, any country wanna adopt https://t.co/50ELJ0YPKl",[],[],"announce official name novel coronavirus outbreak 
in stand corona
vi virus
d disease emerged)
but accord highly educate minister stand whatever point country wanna adopt","[{'sentence_id': 0, 'text': 'announce official name novel coronavirus outbreak ', 'tones': []}, {'sentence_id': 1, 'text': 'in stand corona', 'tones': []}, {'sentence_id': 2, 'text': 'vi virus', 'tones': []}, {'sentence_id': 3, 'text': 'd disease emerged)', 'tones': []}, {'sentence_id': 4, 'text': 'but accord highly educate minister stand whatever point country wanna adopt', 'tones': [{'score': 0.533893, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]","[{'score': 0.519278, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
5004,LoriHPhoton,n.a,98008,239,92,12712,2013-04-30 21:53:40,2020-06-22 03:39:12,132,"Former Food and Drug Administration Commissioner Scott Gottlieb warned that some U.S. states, including Texas, Florida and Arizona, could start to see an 'exponential' rise in COVID-19 cases this coming week https://t.co/Nd299QYYgT",[],[],former food drug administration commissioner scott gottlieb warn u.s state include texas florida arizona could start see exponential rise case come week,,[],,,,,,,
5005,Polly01639091,n.a,n.a,5000,1804,49251,2020-04-11 01:36:32,2020-06-21 02:25:15,763,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5006,llendonmar46,usaf ret. #animallove #veterans #science #immigration  #womenrights #noreligion #uniteblue  #supportlgtbq #equality #votebluenomatterwho #fbr  📎🌊🇺🇸🌊,usa ,10407,10731,143947,2014-01-16 23:13:36,2020-06-22 03:40:05,0,"POLITICO: DeSantis pivots on Covid-19 surge, says testing doesn't account for spike.
https://t.co/M521rfpCPz

via @GoogleNews",[],['@GoogleNews'],"politico desantis pivot surge say test account spike.


via","[{'sentence_id': 0, 'text': 'politico desantis pivot surge say test account spike.', 'tones': []}, {'sentence_id': 1, 'text': 'via', 'tones': []}]",[],,,,,,,
5007,69420tomo,zzz,"ontario, canada",14,3,782,2018-11-02 00:35:57,2020-06-20 02:48:49,0,"@TCorbin69 @Steve_Dangle There's data that shows you can acquire/have the virus, not show symptoms for the first 3-7 days, and be communicable the whole time.

We also only have the reported test results for covid, not the antibody test. We don't have the whole story nor actual factual information.",[],"['@TCorbin69', '@Steve_Dangle']","there's data show acquire/have virus show symptom first day communicable whole time.

we also report test result covid antibody test whole story actual factual information","[{'sentence_id': 0, 'text': ""there's data show acquire/have virus show symptom first day communicable whole time."", 'tones': []}, {'sentence_id': 1, 'text': 'we also report test result covid antibody test whole story actual factual information', 'tones': [{'score': 0.958043, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.953578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.977842, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.957177, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5008,lizasalto,💞💓@paps24_ 💗💕,n.a,165,206,4782,2018-01-24 07:02:05,2020-06-22 03:40:02,8275,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,,[],,,,,,,
5009,olos_oleg,n.a,n.a,37,10,838,2012-12-27 04:04:48,2020-06-22 03:22:30,0,"@DrJudyAMikovits Some leaders even blame government health workers for bringing the virus. Katia a chief from the tribe in Pará state, believes she caught Covid-19 after a government health team visited their village to give flu vaccines.

“Everyone got sick from there on,” she said.",[],['@DrJudyAMikovits'],"leader even blame government health worker bring virus katia chief tribe pará state believe caught government health team visit village give flu vaccines.

“everyone get sick on,” say","[{'sentence_id': 0, 'text': 'leader even blame government health worker bring virus katia chief tribe pará state believe caught government health team visit village give flu vaccines.', 'tones': [{'score': 0.769251, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.716804, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '“everyone get sick on,” say', 'tones': [{'score': 0.523058, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.952443, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.824412, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5010,Nirajjha23,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत । अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्‌ ॥,"patna, india",1523,48,1817,2018-01-27 16:47:13,2020-06-22 03:39:07,0,@globaltimesnews Chinese virus,[],['@globaltimesnews'],chinese virus,,[],,,,,,,
5011,NotSoTravelled,"a nobody from nowhere important. spare me from climate deniers, bigots, racists, rwnjs, anti-vaxxers etc",n.a,326,55,5216,2019-01-05 04:29:21,2020-06-22 02:14:19,66,BLM 👏 PROTESTS 👏 DIDN’T 👏 CAUSE 👏 MELBOURNE’S 👏 COVID-19 👏SPIKE 👏,[],[],blm protest didn’t cause melbourne’s spike,,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5012,jayjbotes,⭐️sportsnut 🥇decathlon champ 👨‍🍳chef ⭐️mountainbiker 🏂skitours ⭐️biketours 🏌🏻‍♂️golfer 🏉@springboks ✈️traveller ✝️jesus follower 👑coram deo,n.a,3023,6050,36086,2009-04-26 14:00:34,2020-06-20 02:04:17,0,"My Best Wishes are with @PGATOUR Pro Nick Watney who tested positive for the @COVID19 virus yesterday!

We're praying that he will be back on tour in no Time 🙏🙌👆@nickwatneygolf @RBC_Heritage #golf #JayJBmedia

Read Full Story Here: https://t.co/R6S0wH1MEi https://t.co/o49Q2ccHB5","['golf', 'jayjbmedia']","['@PGATOUR', '@COVID19', '@nickwatneygolf', '@RBC_Heritage']","best wish pro nick watney test positive virus yesterday!

we're pray back tour time 

read full story","[{'sentence_id': 0, 'text': 'best wish pro nick watney test positive virus yesterday!', 'tones': [{'score': 0.769849, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""we're pray back tour time "", 'tones': [{'score': 0.579918, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': '', 'tones': []}, {'sentence_id': 3, 'text': 'read full story', 'tones': [{'score': 0.590363, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]","[{'score': 0.621648, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.947749, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
5013,haleysynan,le moyne swimming,"belchertown, ma",305,536,4773,2012-10-23 20:16:19,2020-06-21 03:33:05,42676,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5014,jenbrea,hcp ally. filmmaker @unrestfilm. @meactnet co-founder. disability rights activist. harvard polisci ph.d/stats ma dropout. in remission from #mecfs. still #mcas.,"los angeles, ca",1893,25234,39857,2008-07-21 23:17:27,2020-06-21 02:26:30,1,"Holy crap. 624 new COVID cases in my state. Yesterday it was 409. On the 17th it was 253. And it's not King county that's spiking here, it's Yakima. I'm so scared for them. :( It's an area where virus safety has been heavily politicized. I'm 💔

https://t.co/wN7Ag6CUOS",[],[],"holy crap new covid case state yesterday king county that's spike yakima i'm scared area virus safety heavily politicize i'm 

",,"[{'score': 0.877019, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,1.0,
5015,pupiro12,don’t take my twitter serious,somewhere in miami,624,448,5683,2014-01-26 01:06:47,2020-06-22 03:41:47,42843,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5016,VictoriaBattia1,"bmhs ‘20
pace university ‘24",n.a,177,105,108,2020-05-12 14:35:04,2020-06-22 03:41:49,5,people still supporting trump after he fully said if we don’t test for COVID-19 there will be no reported cases of COVID-19 you are all so embarrassing like why do you want people to know you are stupid,[],[],people still support trump fully say don’t test report case embarrass like want people know stupid,,"[{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5017,rferreri63,i understand how people are manipulated. i used to be in advertising. i am retired now and free to speak my mind.,"st petersburg, fl",343,126,22964,2010-07-16 20:05:48,2020-06-20 02:54:43,351,@realDonaldTrump @gtbynum Note to non-Trump supporters:  If you intend to go to Trump’s rally tomorrow please be 100% peaceful and please wear a mask to protect you from corona virus and tear gas.,[],"['@realDonaldTrump', '@gtbynum']",note non-trump supporter intend go trump’s rally tomorrow please peaceful please wear mask protect corona virus tear gas,,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
