level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
0,1001,INQUIRERSports,the official twitter account of inquirer sports and #sportsiq.,manila,354,48838,164845,2009-11-11 08:20:00,2020-06-22 01:19:32,1,"Grigor Dimitrov has tested positive for COVID-19, leading to the cancellation of an exhibition event in Croatia where top-ranked Novak Djokovic was due to play in the final. https://t.co/4dpCwRme1E",[],[],grigor dimitrov test positive lead cancellation exhibition event croatia top-ranked novak djokovic due play final,"{'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
1,1002,ottersponge,20 // they/them,n.a,238,18,6184,2015-07-21 15:12:35,2020-06-20 03:19:02,364,"Thanks a lot jackasses, due to the spike in Corona Virus cases in the state, visitation at the hospital has been cut off completely. Hope brunch at that bar and grill was worth it, you selfish fucks. Eat a bag of dicks.",[],[],thanks lot jackass due spike corona virus case state visitation hospital cut completely hope brunch bar grill worth selfish fuck eat bag dick,"{'tones': [{'score': 0.597553, 'tone_id': 'anger', 'tone_name': 'Anger'}]}",
2,1003,Doehawk1993,"mom, teacher, musician, listener, reader- wearing my peace ring since’03, church of divine ignorance","traverse city, mi",378,27,11982,2017-01-20 03:59:02,2020-06-22 01:38:55,938,Texas Gov. Greg Abbott announces he’ll hold briefing about COVID-19 with limit press coverage on Monday at 2 pm. The Houston Chronicle and San Antonio Express-News once again not allowed to be there to ask questions despite both cities seeing huge spike in ICUs. https://t.co/Fsjmb5mPTD,[],[],texas gov greg abbott announces he’ll hold briefing limit press coverage monday pm houston chronicle san antonio express-news allow ask question despite city see huge spike icu,"{'tones': [{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
3,1004,AliceVincit,"wine, politics, religion, art - all wrapped up in one cranky package. anti-fascist. i say fuck a lot. deal with it.",eastern washington state,2118,830,30782,2012-05-03 23:00:21,2020-06-23 01:08:51,12535,"Amid surge in Florida COVID-19 cases, Fla. Gov. DeSantis changed guidelines for ICU reporting.  He doesn't want hospitals to report the number of patients in ICU beds.  He only wants hospitals to report number of patients in ICU beds who require an “intensive level of care.”",[],[],amid surge florida case fla gov desantis change guideline icu report want hospital report number patient icu bed want hospital report number patient icu bed require “intensive level care.”,"{'tones': [{'score': 0.663532, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
4,1005,gman_h,"anthropology lecturer, researcher in migration, religion (islam), malaysia, southeast asia, refugees; social anthropology mooc @world101x; rt ≠ endorsement","brisbane, queensland",1755,1664,5286,2011-03-23 03:10:35,2020-06-22 03:21:07,0,"COVID-19 and “medical citizenship”: How the pandemic is generating new forms of belonging and exclusion
https://t.co/UxMhZLyRgG

@DrJennyMunro and I on @ABCReligion 
@HASSUQ @UQ_News",[],"['@DrJennyMunro', '@ABCReligion', '@HASSUQ', '@UQ_News']","“medical citizenship” pandemic generate new form belong exclusion


","{'tones': [{'score': 0.936902, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
5,1006,DubkafKathy,n.a,n.a,1371,78,3925,2012-11-14 09:42:24,2020-06-22 02:31:46,33,"https://t.co/b9Ebmr0pnl

The level of background noise in cities has dropped during corona virus and people have less outlets for energy

A 140db firework's sound will travel farther and sound louder because there is less background noise

When cities reopen it will be crazy..",[],[],"

the level background noise city drop corona virus people le outlet energy

a firework's sound travel far sound louder less background noise

when city reopen crazy",{'tones': []},"[{'sentence_id': 0, 'text': 'the level background noise city drop corona virus people le outlet energy', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""a firework's sound travel far sound louder less background noise"", 'tones': []}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'when city reopen crazy', 'tones': []}]"
6,1007,LaylaFanucci,layla fanucci is an international artist and author most famous for her unique cityscapes paintings.,"st helena, california",550,343,82150,2011-11-16 12:59:30,2020-06-22 03:23:19,42222,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,"{'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
7,1008,AZCARDINALS25,n.a,n.a,454,184,14963,2009-10-17 14:58:51,2020-06-20 03:06:01,196,"The second COVID turns into a Zombie virus, just fold me immediately. I'm good. I'm not going through that.",[],[],second covid turn zombie virus fold immediately i'm good i'm go,{'tones': []},
8,1009,BobbyCr48838634,"human, partner, son, proud resister, #1 kathy griffin fan!
🌊🌊🌊
#votebluenomatterwho","sarasota, florida ",4426,4265,164626,2018-07-20 02:35:09,2020-06-21 03:34:27,3125,"At the Trump rally, Brian Clothier, 61, is wearing an adult diaper over his pants that reads “Scientists say [farts] spread the virus. I COVID my ass to stop the spread.” https://t.co/2Ljok0vKKe",[],[],trump rally brian clothier wear adult diaper pant read “scientists say fart spread virus covid as stop spread.”,{'tones': []},
9,1010,CarolCovic,whole food plant based,memphis and atlanta,1344,107,32055,2018-06-09 19:21:11,2020-06-22 02:10:34,1050,"A cluster of mysterious deaths, some involving infants and children, is under scrutiny amid questions of whether the novel coronavirus lurked in California months before it was first detected. https://t.co/nYZ8ayT9fx",[],[],cluster mysterious death involve infant child scrutiny amid question whether novel coronavirus lurk california month first detect,"{'tones': [{'score': 0.834759, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
