index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,analytical,fear,sadness,anger,confident,tentative,joy
0,phpress,"""i survived covid-19 and all i got was this lousy album"" due out in june. musician. songwriter.  video game developer. former apple & compaq r&d.","oregon, usa",4236,3327,323308,2009-06-15 08:16:59,2020-06-23 01:08:16,38,"(I would caution against trying to start a witch hunt against any players. I was honestly shocked to learn that people could go clubbing in Florida. There are a lot of factors at play, and the refusal of some elected officials to take COVID-19 seriously is certainly one of them.)",[],[],would caution try start witch hunt player honestly shock learn people could go club florida lot factor play refusal elect official take seriously certainly one,,"[{'score': 0.849626, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
1,LeslieLee327,#notmypresident    #theresistance,n.a,6999,6652,408759,2016-12-14 00:13:54,2020-06-23 01:09:21,9,"There is no joke.
120,000 COVID-19 deaths.

https://t.co/MSbCIZqiJw",[],[],"deaths.

",,"[{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,1.0,1.0,1.0,,,
2,sydneyc537,twhs 20,n.a,128,92,47,2018-09-16 00:56:23,2020-06-22 03:38:01,29553,"Kentucky has used Covid-19 as an excuse to slash polling places for Tuesday’s vital primary to defeat #MitchMcConnell. There were 3500+. Now, there are 200. 

Jefferson County, where half the Black voters are, will have 1 polling place for 610,000+ voters.
https://t.co/mTJT1dSVP9",['mitchmcconnell'],[],"kentucky use excuse slash polling place tuesday’s vital primary defeat 

jefferson county half black voter poll place voters.
","[{'sentence_id': 0, 'text': 'kentucky use excuse slash polling place tuesday’s vital primary defeat ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'jefferson county half black voter poll place voters.', 'tones': []}]",[],,,,,,,
3,Oakley_117,"father, husband, worker. 
exhausted pigeon 🥱",edmonton alberta,129,2,101,2012-04-08 22:56:19,2020-06-20 03:14:53,25973,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
4,npilch,mayor of albany. software technologist. environmentalist. equitable transportation advocate.,"albany, ca",101,93,466,2008-03-22 21:47:13,2020-06-23 01:27:08,13,"California COVID-19, By The Numbers:

🔷 Positive cases: 178,054
🔹 Confirmed hospitalizations: 3,702
🔹 Confirmed ICU hospitalizations: 1,199
🔹 Deaths: 5,515

More information ➡️ https://t.co/TLLUGwPGY7

#YourActionsSaveLives https://t.co/tXUflHd36Y",[],[],"california numbers:

 positive case confirm hospitalization confirm icu hospitalization death information 

","[{'sentence_id': 0, 'text': 'california numbers:', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' positive case confirm hospitalization confirm icu hospitalization death information', 'tones': [{'score': 0.989544, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.998556, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.98029, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,1.0,,
5,laurabeansss,🌈 gay nerd .edu 🌈,¯\_(ツ)_/¯,144,56,6326,2013-11-15 20:45:22,2020-06-20 02:53:54,25303,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,1.0,,
6,jellyboobi,"this is my safe space, and i’m going to rant freely, if u don’t like it— go, pls",dog-eat-dog wurld,144,80,2500,2016-07-15 00:33:11,2020-06-23 01:07:39,26633,"Black Lives Matter. 
COVID-19 still exists. 
Arrest the cops who murdered Breonna Taylor. 
Defund the police. 
Fund community org &amp; education.
Find Vanessa Guillén. 
Justice for Oluwatoyin Salau. 
Hold pedophiles &amp; rapists accountable. 

Thanks for coming to my TED talk.",[],[],"black live matter still exist 
arrest cop murder breonna taylor 
defund police 
fund community org amp education.
find vanessa guillén 
justice oluwatoyin salau 
hold pedophile amp rapist accountable 

thanks come ted talk","[{'sentence_id': 0, 'text': 'black live matter still exist ', 'tones': []}, {'sentence_id': 1, 'text': 'arrest cop murder breonna taylor ', 'tones': []}, {'sentence_id': 2, 'text': 'defund police ', 'tones': []}, {'sentence_id': 3, 'text': 'fund community org amp education.', 'tones': []}, {'sentence_id': 4, 'text': 'find vanessa guillén ', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'justice oluwatoyin salau ', 'tones': [{'score': 0.622945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'hold pedophile amp rapist accountable ', 'tones': [{'score': 0.600355, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 7, 'text': '', 'tones': []}, {'sentence_id': 8, 'text': 'thanks come ted talk', 'tones': []}]",[],,,,,,,
7,BethanySvenson,i'm me.,"nashua, nh",270,108,2899,2011-05-04 13:44:13,2020-06-22 01:18:21,37602,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
8,justinhill2014,🇮🇹 / wsu / 24,hazel park ✋,441,826,35845,2011-10-02 19:43:10,2020-06-22 03:42:04,1760,An Italian National Institute of Health study found #COVID-19 in wastewater samples from December 2019 in Turin and Milan. https://t.co/xGL67Z68kl,['covid'],[],italian national institute health study find wastewater sample december turin milan,,"[{'score': 0.749769, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,1.0
9,tonigomez_01,"madridista, rojinegro. iun alumni 🇲🇽 🇺🇸","crown point, in",500,148,15275,2012-05-16 23:34:12,2020-06-22 03:23:10,8072,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,,[],,,,,,,
10,kimp3l,n.a,n.a,149,7,625,2016-07-25 23:10:22,2020-06-23 01:07:45,41224,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,1.0,
11,alice4u2010,"i love living in the mountains with my husband, tim and our miniature dachshund ruby. dedicated life-long learner. no dms please. #votebluenomatterwho2020","susanville, ca",4576,3562,100828,2010-05-03 13:37:00,2020-06-20 02:00:36,651,Trump's Tulsa rally should be called the COVID-19 rally because it will boost the virus more than Trump.,[],[],trump's tulsa rally call rally boost virus trump,,[],,,,,,,
12,JohnEClark11,"uc berkeley, tulip, not a pietistic futurist x , for x republic of the usa. 7 when jfk assassinated by cia. rip dad was democrat 60’s rixp.","mission viejo, ca",251,70,1776,2018-01-12 10:55:18,2020-06-21 03:11:58,61,".
🧬 VIRUS CRIME

Seattle Healthcare Worker Indicted for Stealing and Selling Ventilators, COVID Supplies on eBay

.
https://t.co/a2OUgf2tk3",[],[],"
🧬 virus crime

seattle healthcare worker indict steal sell ventilator covid supply ebay

.
","[{'sentence_id': 0, 'text': '🧬 virus crime', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'seattle healthcare worker indict steal sell ventilator covid supply ebay', 'tones': []}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': '.', 'tones': []}]",[],,,,,,,
13,allisonclaire22,n.a,nyc,1717,490,14895,2010-09-23 15:52:39,2020-06-20 03:12:43,25985,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,1.0,,
