username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,tentative,analytical,joy,confident,fear,anger
FelizFlorecita1,we the people have the power. we are winning and will never give up!!,n.a,4599,2855,158882,2015-01-24 02:50:35,2020-06-21 02:18:45,828,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
hoobs2011,n.a,"melbourne, victoria",348,108,1813,2011-03-13 11:20:48,2020-06-23 01:08:16,7,"Victoria is ""at a big crossroads"".

Here's what an expert says we need to do NOW to avoid tougher restrictions.
https://t.co/yQouu67PUb",[],[],"victoria big crossroads"".

here's expert say need avoid tough restrictions.
","[{'sentence_id': 0, 'text': 'victoria big crossroads"".', 'tones': []}, {'sentence_id': 1, 'text': ""here's expert say need avoid tough restrictions."", 'tones': [{'score': 0.681945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.69744, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
RodMT5Harrell,"mt automated trade systems developer, ib & money manager & made a trader, born an oakland raider","oakland, california, usa, 94609-1117",4988,1390,53755,2012-10-26 10:58:06,2020-06-22 03:42:45,40,Why acting fast is the key to beating a second wave of Covid-19 https://t.co/1yi8N4zzyu,[],[],act fast key beat second wave,,[],,,,,,,
Shivam76380802,n.a,n.a,51,4,2453,2020-03-24 15:14:06,2020-06-22 01:21:46,975,"I live in Delhi and I have just recovered from #Covid_19!

I am a 30-year old male with no underlying health conditions. Just a few extra kilos, but hey, who in Delhi doesn’t have that. And still it took me 23 days to start feeling normal again!

A thread of my struggle..

(1/n)",['covid_19'],[],"live delhi recover 

i old male underlie health condition extra kilo hey delhi doesn’t still take day start feel normal again!

a thread","[{'sentence_id': 0, 'text': 'live delhi recover ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'i old male underlie health condition extra kilo hey delhi doesn’t still take day start feel normal again!', 'tones': [{'score': 0.548904, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'a thread', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.664175, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.711937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
LoveLibra_T,"loves to talk trash, sports, politics, entertainment, family, friends and all manor of foolery. i'm a libra. best ask about me *cookie voice*",n.a,859,1507,338832,2010-01-18 01:51:12,2020-06-22 03:42:42,8263,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,,[],,,,,,,
DeeKinnick,i am who i am  #teamdml,"iowa, usa",69,62,314,2019-11-12 05:15:19,2020-06-21 02:40:26,0,@philhand13 @SaraCarterDC @CNN @realDonaldTrump We do have the covid-19 virus you know.,[],"['@philhand13', '@SaraCarterDC', '@CNN', '@realDonaldTrump']",virus know,,"[{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
lauren131payne,"|grateful for where i’m at, excited for where i’m going| |central methodist ‘21| |σπα|",kcmo,1569,764,8858,2012-07-03 18:58:12,2020-06-23 01:08:13,41049,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
joanjuneau,"black woman, world traveller, b a english, grad school, left leaning    #resist #voteblue","new mexico, usa",12515,13046,47658,2015-12-30 02:13:59,2020-06-23 01:08:08,0,"8 Trump Campaign Staffers Test Positive for COVID-19 

8 Trump staffers and 2 Secret Servicemen test positive for Covid-19 

https://t.co/HqnzfMSAZO",[],[],"trump campaign staffer test positive trump staffer secret serviceman test positive 

",,"[{'score': 0.827302, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.952441, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
TheRinpoche,n.a,kolkata,1121,341,8652,2010-03-30 05:53:51,2020-06-22 02:13:45,860,"IMPORTANT ALERT 

Large scale cyber attacks are expected through fake emails offering free Covid-19 testing. Pl be careful. Don't open attachments in unsolicited emails even if it comes from Govt mail ID or your contacts.
https://t.co/2IRiYdkVH5

Please RT",[],[],"important alert 

large scale cyber attack expect fake email offer free test pl careful open attachment unsolicited email even come govt mail id contacts.


please rt","[{'sentence_id': 0, 'text': 'important alert ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'large scale cyber attack expect fake email offer free test pl careful open attachment unsolicited email even come govt mail id contacts.', 'tones': []}, {'sentence_id': 3, 'text': 'please rt', 'tones': []}]","[{'score': 0.84639, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
DebHiers1,educated country lady working in mental health—didn't vote4party—voted for trump! #maga followed by @therealroseanne @mitchellvii @therealhublife,n.a,5339,9497,514754,2015-11-14 03:31:26,2020-06-22 02:12:25,4,"“The initial wave of COVID-19 is still with us, hitting each state at different points in time. We see more cases because we are doing more testing. Also, the country is reopening, which means an increase in mobility of people, which means more cases.” https://t.co/L3wPi01nhn",[],[],“the initial wave still hit state different point time see case test also country reopen mean increase mobility people mean cases.”,,"[{'score': 0.540075, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.823464, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
